company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
OsaÃ¼hingSparkwell(11018977),Temporary employment agency activities,,,[],,,04.03.2004,,11018977.0,,,,,,https://ariregister.rik.ee/eng/company/11018977/OsaÃ¼hing-Sparkwell?search_id=6b4eef4&pos=1193,,,Vladislav Vorontsov,wissel-ariregister
SparkyOÃœ(16311015),,,,[],,Harju maakond Kose vald NÃµrava kÃ¼la Uus-Olli 75116,09.09.2021,,16311015.0,,,,,,https://ariregister.rik.ee/eng/company/16311015/Sparky-OÃœ?search_id=6b4eef4&pos=1194,,,,wissel-ariregister
OÃœSPARKY(11005688),Other construction installation,,,[],,,25.02.2004,,11005688.0,,,,,,https://ariregister.rik.ee/eng/company/11005688/OÃœ-SPARKY?search_id=6b4eef4&pos=1195,,,Tauri Tarbe,wissel-ariregister
SparkySpotOÃœ(14865560),,,,[],,,10.12.2019,,14865560.0,,,,,,https://ariregister.rik.ee/eng/company/14865560/SparkySpot-OÃœ?search_id=6b4eef4&pos=1196,,,,wissel-ariregister
OÃœSparoberg(10957207),Computer programming activities,,,[],,Harju maakond Tallinn Kesklinna linnaosa Lootsi tn 3a-150 10151   ,08.07.2003,,10957207.0,,,,,,https://ariregister.rik.ee/eng/company/10957207/OÃœ-Sparoberg?search_id=6b4eef4&pos=1197,,,Dmytro Dubovetskyi,wissel-ariregister
SparofOÃœ(12087012),Non-specialised wholesale trade,,,[],,,06.04.2011,,12087012.0,,,,,,https://ariregister.rik.ee/eng/company/12087012/Sparof-OÃœ?search_id=6b4eef4&pos=1198,,,Arvo Heinmaa,wissel-ariregister
OÃœSparohansa(10956797),,,,[],,Ida-Viru maakond SillamÃ¤e linn Mere pst 4 40231,03.07.2003,,10956797.0,,,,,,https://ariregister.rik.ee/eng/company/10956797/OÃœ-Sparohansa?search_id=6b4eef4&pos=1199,,,,wissel-ariregister
OsaÃ¼hingSparolink(10957087),Manufacture of prepared meals and dishes,,,[],,Harju maakond Tallinn Kristiine linnaosa Meleka tn 6-10 10615   ,07.07.2003,,10957087.0,,,,,,https://ariregister.rik.ee/eng/company/10957087/OsaÃ¼hing-Sparolink?search_id=6b4eef4&pos=1200,,,Svetlana Ano\xc5\xa1t\xc5\xa1enkova,wissel-ariregister
osaÃ¼hingSPARossia(11168688),Repair of furniture and home furnishings,,,[],,Harju maakond Tallinn Kesklinna linnaosa Lootsi tn 3a-42 10151   ,29.09.2005,,11168688.0,,,,,,https://ariregister.rik.ee/eng/company/11168688/osaÃ¼hing-SPA-Rossia?search_id=6b4eef4&pos=1201,,,Rain Kindlam,wissel-ariregister
SparotecOÃœ(12197054),Hotels,,,[],,Harju maakond Tallinn NÃµmme linnaosa Turu plats 5-57 11611   ,24.11.2011,,12197054.0,,,,,,https://ariregister.rik.ee/eng/company/12197054/Sparotec-OÃœ?search_id=6b4eef4&pos=1202,,,Kalle Kuusik,wissel-ariregister
SparqOÃœ(14721602),Rental and operating of own or leased real estate,,,[],,Harju maakond Tallinn Kesklinna linnaosa VesivÃ¤rava tn 50-201 10152   ,10.05.2019,,14721602.0,,,,,,https://ariregister.rik.ee/eng/company/14721602/Sparq-OÃœ?search_id=6b4eef4&pos=1203,,,Vesa Matti Knuuttila,wissel-ariregister
SparrekArtOÃœ(12639109),Computer programming activities,,,[],,Harju maakond Tallinn PÃµhja-Tallinna linnaosa SÃµle tn 74-14 10314   ,03.04.2014,,12639109.0,,,,,,https://ariregister.rik.ee/eng/company/12639109/SparrekArt-OÃœ?search_id=6b4eef4&pos=1204,,,Danila Belokons,wissel-ariregister
osaÃ¼hingSparren(10931314),Artistic creation,,,[],,,07.07.2003,,10931314.0,,,,,,https://ariregister.rik.ee/eng/company/10931314/osaÃ¼hing-Sparren?search_id=6b4eef4&pos=1205,,,K\xc3\xbclli Sparre,wissel-ariregister
SparringOÃœ(12308619),,,,[],,Harju maakond Tallinn Kristiine linnaosa Energia tn 6a 13415,02.07.2012,,12308619.0,,,,,,https://ariregister.rik.ee/eng/company/12308619/Sparring-OÃœ?search_id=6b4eef4&pos=1206,,,,wissel-ariregister
