company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,company_age,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Tiffany & Co.,,,['Jewellery'],[],[],,,[],,,,,,,,,,,,campaignindia
Minute Maid,,,['Fruit Juice'],[],[],,,[],,,,,,,,,,,,campaignindia
Burger King,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Tiger Beer,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Singtel,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Korean Air,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
NTT,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Qantas,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Nongshim,,,['Instant Noodles'],[],[],,,[],,,,,,,,,,,,campaignindia
Ralph Lauren,,,['Men’s Fashion Retailer/Fragrance'],[],[],,,[],,,,,,,,,,,,campaignindia
Siam Commercial Bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Asiana,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Park n shop,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Seoul Milk,,,['Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
G2000,,,['Men’s and Women’s Fashion Retailer'],[],[],,,[],,,,,,,,,,,,campaignindia
SK Telecom,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Dunhill,,,['Cigarette'],[],[],,,[],,,,,,,,,,,,campaignindia
Adobe,,,['Computer Software'],[],[],,,[],,,,,,,,,,,,campaignindia
Shinhan bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Lotteria,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Kuroneko Yamato,,,['Courier Company'],[],[],,,[],,,,,,,,,,,,campaignindia
DBS,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Pioneer,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
ICICI Bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
State Bank of India (SBI),,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Telstra,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
