company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Van Genechten Packaging,Industrials,,,,1833,,,,,,,,,,,,"Printing, packaging",,,,MalPatSaj-wikipedia-org
Van Hool,Industrials,,,,1947,,,,,,,,,,,,Buses,,,,MalPatSaj-wikipedia-org
Vanbreda International,Financials,,,,1937,,,,,,,,,,,,Health insurance,,,,MalPatSaj-wikipedia-org
Vanparys,Consumer goods,,,,1889,,,,,,,,,,,,Confectioner,,,,MalPatSaj-wikipedia-org
Velleman,Industrials,,,,1975,,,,,,,,,,,,Electronics,,,,MalPatSaj-wikipedia-org
Vinçotte,Industrials,,,,1873,,,,,,,,,,,,Inspections,,,,MalPatSaj-wikipedia-org
VLM Airlines,Consumer services,,,,1992,,,,,,,,,,,,Airline,,,,MalPatSaj-wikipedia-org
Volvo Car Gent,Consumer goods,,,,1965,,,,,,,,,,,,Local subsidiary of Volvo (Sweden),,,,MalPatSaj-wikipedia-org
Walloon SME finance and guarantee company,Financials,,,,2002,,,,,,,,,,,,Financing,,,,MalPatSaj-wikipedia-org
Zetes,Technology,,,,1984,,,,,,,,,,,,Identification technology,,,,MalPatSaj-wikipedia-org
Air VIA,Consumer services,,,,1990,,,,,,,,,,,,Charter airline,,,,MalPatSaj-wikipedia-org
Ariana Brewery,Consumer goods,,,,1884,,,,,,,,,,,,"Brewery, defunct 2004",,,,MalPatSaj-wikipedia-org
Armimex,Industrials,,,,1992,,,,,,,,,,,,"Arms and weaponry export, defunct 2003",,,,MalPatSaj-wikipedia-org
Arsenal AD,Industrials,,,,1878,,,,,,,,,,,,Military equipment manufacture,,,,MalPatSaj-wikipedia-org
Asarel Medet,Basic materials,,,,1964,,,,,,,,,,,,Copper extraction and processing,,,,MalPatSaj-wikipedia-org
Astika Brewery,Consumer goods,,,,1980,,,,,,,,,,,,Brewery,,,,MalPatSaj-wikipedia-org
Aukro.bg,Consumer services,,,,2007,,,,,,,,,,,,"Online shopping, defunct 2013",,,,MalPatSaj-wikipedia-org
