company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Intel,"['Semiconductors', 'Tech', 'Dow jones', 'Tech Hardware', 'Manufacturing']",,,USA,,,,,$121.37 B,,,,,,,,,,$29.41,,companiesMarketCap_dataset
Amd,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware']",,,USA,,,,,$120.89 B,,,,,,,,,,$74.98,,companiesMarketCap_dataset
Hsbc,['Banks'],,,UK,,,,,$122.12 B,,,,,,,,,,$30.58,,companiesMarketCap_dataset
Caterpillar,"['Dow jones', 'Machinery manufacturing', 'Manufacturing']",,,USA,,,,,$122.88 B,,,,,,,,,,$236.13,,companiesMarketCap_dataset
Bank Of China,"['Banks', 'Financial services']",,,China,,,,,$123.07 B,,,,,,,,,,$0.44,,companiesMarketCap_dataset
Commonwealth Bank,"['Banks', 'Financial services']",,,Australia,,,,,$122.92 B,,,,,,,,,,$72.69,,companiesMarketCap_dataset
Target,"['Retail', 'Supermarket Chains']",,,USA,,,,,$75.56 B,,,,,,,,,,$164.16,,companiesMarketCap_dataset
Duke Energy,"['Energy', 'Electricity', 'Oil&Gas', 'Utility companies']",,,USA,,,,,$76.63 B,,,,,,,,,,$99.52,,companiesMarketCap_dataset
Canadian Pacific Railway,"['Railways', 'Transportation', 'Infrastructure']",,,Canada,,,,,$77.08 B,,,,,,,,,,$82.35,,companiesMarketCap_dataset
Progressive,['Insurance'],,,USA,,,,,$77.51 B,,,,,,,,,,$132.51,,companiesMarketCap_dataset
Vale,['Mining'],,,Brazil,,,,,$77.98 B,,,,,,,,,,$16.72,,companiesMarketCap_dataset
Air Liquide,"['CAC 40', 'Chemicals']",,,France,,,,,$78.78 B,,,,,,,,,,$147.96,,companiesMarketCap_dataset
China Shenhua Energy,"['Mining', 'Coal Mining', 'Energy']",,,China,,,,,$79.02 B,,,,,,,,,,$4.19,,companiesMarketCap_dataset
Booking Holdings (booking.com),"['Internet', 'Travel', 'Online Travel', 'Tech']",,,USA,,,,,$80.89 B,,,,,,,,,,"$2,085",,companiesMarketCap_dataset
Icici Bank,"['Banks', 'Financial services']",,,India,,,,,$80.89 B,,,,,,,,,,$23.20,,companiesMarketCap_dataset
Merck Kgaa,"['Pharmaceuticals', 'Chemicals', 'DAX']",,,Germany,,,,,$81.20 B,,,,,,,,,,$186.76,,companiesMarketCap_dataset
Vertex Pharmaceuticals,"['Pharmaceuticals', 'Biotech']",,,USA,,,,,$82.49 B,,,,,,,,,,$321.37,,companiesMarketCap_dataset
