company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
NKC ASIA,Technology,,2015,,[],['Japan'],,,37.92,,,90,,,,,,,ft-com
TheMathCompany,Management Consulting,,2016,,[],['India'],,,13.85,,,494,,,,,,,ft-com
SelfWealth,Fintech,,2012,,[],['Australia'],,,12.64,,,34,,,,,,,ft-com
Be Fit Food,Health,,2015,,[],['Australia'],,,5.21,,,25,,,,,,,ft-com
Comma Entertainment,Advertising,,2015,,[],['South Korea'],,,1.47,,,10,,,,,,,ft-com
Tangerine Telecom,Telecoms,,2014,,[],['Australia'],,,13.62,,,90,,,,,,,ft-com
Luoto Company,Technology,,2016,,[],['Finland'],,,"14,338,668",,,49,,,,,,,ft-com
Journi Print,Ecommerce,,2014,,[],['Austria'],,,"6,851,839",,,29,,,,,,,ft-com
bunq,Fintech,,2014,,[],['Netherlands'],,,"8,808,633",,,96,,,,,,,ft-com
NBWM,Fintech,,2013,,[],['Netherlands'],,,6.7,,,30,,,,,,,ft-com
Wolt Enterprises,Technology,,2014,,[],['Finland'],,,30.07,,,293,,,,,,,ft-com
Bolt Technology,Technology,,2013,,[],['Estonia'],,,79.68,,,700,,,,,,,ft-com
Whatfix,Technology,,2013,,[],['India'],,,13.45,,,471,,,,,,,ft-com
Sprintlaw,Law,,2017,,[],['Australia'],,,1.70,,,25,,,,,,,ft-com
Metal Heart,Retail,,2017,,[],['South Korea'],,,14.73,,,3,,,,,,,ft-com
SaaS Labs,Technology,,2016,,[],['India'],,,1.93,,,52,,,,,,,ft-com
Top Reform,Construction,,2015,,[],['Japan'],,,6.56,,,13,,,,,,,ft-com
Shopline,Ecommerce,,2013,,[],['Hong Kong'],,,21.85,,,301,,,,,,,ft-com
Portify,Support Services,,2017,,[],['France'],,,"11,583,215",,,228,,,,,,,ft-com
Tibber,Energy,,2015,,[],['Norway'],,,"30,886,935",,,45,,,,,,,ft-com
Bolt Technology,Technology,,2013,,[],['Estonia'],,,"148,227,430",,,1438,,,,,,,ft-com
Scalable Capital,Fintech,,2014,,[],['Germany'],,,"7,065,436",,,115,,,,,,,ft-com
Bis Rénovation Energie,Construction,,2013,,[],['France'],,,13.5,,,80,,,,,,,ft-com
Elements Global Services,Support Services,,2015,,[],['Spain'],,,26.25,,,38,,,,,,,ft-com
Les Eco-Isolateurs,Construction,,2013,,[],['France'],,,32.98,,,67,,,,,,,ft-com
Drive Yello,Transport,,2015,,[],['Australia'],,,7.84,,,60,,,,,,,ft-com
"Different Millions , Inc",Beauty,,2017,,[],['South Korea'],,,4.52,,,38,,,,,,,ft-com
Stay Gold,Property,,2010,,[],['Japan'],,,9.40,,,3,,,,,,,ft-com
upGrad,Education,,2015,,[],['India'],,,23.05,,,1100,,,,,,,ft-com
Capital India Finance,Financial Services,,1994,,[],['India'],,,14.59,,,Not found,,,,,,,ft-com
IGOODS,Sales & Marketing,,2016,,[],['Japan'],,,6.26,,,20,,,,,,,ft-com
Rascal Industry,Fashion,,2013,,[],['Poland'],,,"9,008,822",,,18,,,,,,,ft-com
Pegaso Security,Support Services,,2017,,[],['Italy'],,,"8,375,180",,,509,,,,,,,ft-com
Kubrick Group,Management Consulting,,2016,,[],['UK'],,,"21,304,174",,,335,,,,,,,ft-com
Gojob,Management Consulting,,2015,,[],['France'],,,"23,062,711",,,105,,,,,,,ft-com
Donatella*,Food & Beverage,,2014,,[],['Germany'],,,7.5,,,10,,,,,,,ft-com
Gismart,Games industry,,2013,,[],['United Kingdom'],,,57.65,,,150,,,,,,,ft-com
PicoCELA,Technology,,2008,,[],['Japan'],,,2.03,,,25,,,,,,,ft-com
Parcelport,Ecommerce,,2012,,[],['New Zealand'],,,3.98,,,10,,,,,,,ft-com
Dwarves Foundation,Technology,,2015,,[],['Vietnam'],,,1.00,,,45,,,,,,,ft-com
