company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
WineDirect Careers,Food & Beverages,,[],American Canyon,CA,,2002.0,,,51 to 200 employees,,,,,www.winedirect.com,,,,DDD-teamblind-com
ThousandEyes Careers,Internet,,[],San Jose,CA,,2010.0,,,201 to 500 employees,,,,,www.thousandeyes.com,,,,DDD-teamblind-com
Vectra AI Careers,Computer & Network Security,,[],San Jose,CA,,2010.0,,,201 to 500 employees,,,,,www.crunchbase.com,,,,DDD-teamblind-com
Kingland Systems Careers,Information Technology & Services,,[],Clear Lake,IA,,1992.0,,,51 to 200 employees,,,,,www.kingland.com,,,,DDD-teamblind-com
WideOrbit Careers,Computer Software,,[],San Francisco,CA,,1999.0,,,"501 to 1,000 employees",,,,,www.wideorbit.com,,,,DDD-teamblind-com
Sila Careers,Financial Services,,[],King Of Prussia,PA,,1989.0,,,"501 to 1,000 employees",,,,,www.sila.com,,,,DDD-teamblind-com
Schaeffler Careers,Mechanical & Industrial Engineering,,[],Herzogenaurach,Germany,,1946.0,,,"10,000+ employees",,,,,www.schaeffler.com,,,,DDD-teamblind-com
Securonix Careers,Information Technology & Services,,[],Addison,TX,,2007.0,,,201 to 500 employees,,,,,www.securonix.com,,,,DDD-teamblind-com
Natixis Careers,Financial Services,,[],Paris,France,,2006.0,,,"10,000+ employees",,,,,www.natixis.com,,,,DDD-teamblind-com
Freudenberg Group Careers,Automotive,,[],Weinheim,Germany,,1849.0,,,"10,000+ employees",,,,,www.freudenberg.com,,,,DDD-teamblind-com
Much Careers,Legal Services,,[],Chicago,IL,,1970.0,,,51 to 200 employees,,,,,www.muchlaw.com,,,,DDD-teamblind-com
OPS Careers,Logistics & Supply Chain,,[],Grand Prairie,TX,,1996.0,,,51 to 200 employees,,,,,www.opstrax.com,,,,DDD-teamblind-com
Voicy.AI Careers,Computer Software,,[],San Francisco,CA,,2015.0,,,1 to 50 employees,,,,,www.voicy.ai,,,,DDD-teamblind-com
128 Technology Careers,Information Technology & Services,,[],Burlington,MA,,2014.0,,,51 to 200 employees,,,,,www.128technology.com,,,,DDD-teamblind-com
Vacasa Careers,"Leisure, Travel & Tourism",,[],Portland,OR,,2009.0,,,"1,001 to 5,000 employees",,,,,www.vacasa.com,,,,DDD-teamblind-com
Quip Careers,Computer Software,,[],San Francisco,CA,,2012.0,,,51 to 200 employees,,,,,quip.com,,,,DDD-teamblind-com
SolarCity Careers,Environmental Services,,[],San Mateo,CA,,2006.0,,,"10,000+ employees",,,,,www.solarcity.com,,,,DDD-teamblind-com
Tech Mahindra Careers,Information Technology & Services,,[],Pune,India,,1986.0,,,"10,000+ employees",,,,,www.techmahindra.com,,,,DDD-teamblind-com
Airlines Reporting Corp. Careers,Information Technology & Services,,[],Arlington,VA,,1984.0,,,201 to 500 employees,,,,,www.arccorp.com,,,,DDD-teamblind-com
The Organic Recruiter Careers,Staffing & Recruiting,,[],Los Angeles,CA,,2016.0,,,1 to 50 employees,,,,,www.theorganicrecruiter.com,,,,DDD-teamblind-com
Tomorrowish Careers,Internet,,[],Boston,NY,,,,,1 to 50 employees,,,,,www.tomorrowish.com,,,,DDD-teamblind-com
