company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Dilip Buildcon,Engineering & Construction,,,,1987,Public,,,,,,,,,,,,,,,AmbitionBox
Flex,Electronics Manufacturing,,,,1969,Private,,,,,,,,,,,,,,,AmbitionBox
PolicyBazaar,FinTech,,,,2008,Public,,,,,,,,,,,,,,,AmbitionBox
Rivigo,Internet,,,,2014,Private,,,,,,,,,,,,,,,AmbitionBox
Reliance Digital,Retail,,,,2007,Private,,,,,,,,,,,,,,,AmbitionBox
Tata Teleservices,Telecom,,,,1996,Public,,,,,,,,,,,,,,,AmbitionBox
Ola Cabs,Internet,,,,2010,Private,,,,,,,,,,,,,,,AmbitionBox
Access Healthcare,IT Services & Consulting,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Tata AIG,Insurance,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Aakash Educational Services,EdTech,,,,1988,Private,,,,,,,,,,,,,,,AmbitionBox
AFCONS Infrastructure,Real Estate,,,,1959,Partnership,,,,,,,,,,,,,,,AmbitionBox
Eureka Forbes,Consumer Electronics & Appliances,,,,1982,Private,,,,,,,,,,,,,,,AmbitionBox
Blue Dart Express,Logistics,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Radisson Hotels,Hospitality,,,,1909,Private,,,,,,,,,,,,,,,AmbitionBox
Landmark Group,Retail,,,,1973,Private,,,,,,,,,,,,,,,AmbitionBox
Paras Hospital,Healthcare,,,,2006,Private,,,,,,,,,,,,,,,AmbitionBox
JMC Projects,Engineering & Construction,,,,1982,Public,,,,,,,,,,,,,,,AmbitionBox
Escorts Group,Automobile,,,,1960,Public,,,,,,,,,,,,,,,AmbitionBox
Mankind Pharma,Pharma,,,,1995,Private,,,,,,,,,,,,,,,AmbitionBox
Legato Health Technologies,Healthcare,,,,2017,LLP,,,,,,,,,,,,,,,AmbitionBox
Nestle,Food Processing,,,,1959,Public,,,,,,,,,,,,,,,AmbitionBox
Lifestyle,Retail,,,,1999,Private,,,,,,,,,,,,,,,AmbitionBox
Max Healthcare,Healthcare,,,,2001,Partnership,,,,,,,,,,,,,,,AmbitionBox
Synechron,IT Services & Consulting,,,,2001,Private,,,,,,,,,,,,,,,AmbitionBox
Statestreet HCL Services,BPO,,,,2012,Private,,,,,,,,,,,,,,,AmbitionBox
I Process Services,Recruitment,,,,2005,Private,,,,,,,,,,,,,,,AmbitionBox
Birlasoft,IT Services & Consulting,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Fiserv,Financial Services,,,,1984,Private,,,,,,,,,,,,,,,AmbitionBox
G4S,Financial Services,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Voltas,Consumer Electronics & Appliances,,,,1954,Public,,,,,,,,,,,,,,,AmbitionBox
Zensar Technologies,IT Services & Consulting,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Birla Sun Life Insurance,Insurance,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
United Phosphorus,Agro Chemicals,,,,1969,Public,,,,,,,,,,,,,,,AmbitionBox
Pfizer,Pharma,,,,2004,Public,,,,,,,,,,,,,,,AmbitionBox
AGS Health,Software Product,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Walmart,Retail,,,,2009,Private,,,,,,,,,,,,,,,AmbitionBox
Lenskart,Other,,,,2010,Private,,,,,,,,,,,,,,,AmbitionBox
Life Insurance Corporation of India,Insurance,,,,1956,Private,,,,,,,,,,,,,,,AmbitionBox
HCL Infosystems,IT Services & Consulting,,,,1976,Public,,,,,,,,,,,,,,,AmbitionBox
Aditya Birla Group,Metals & Mining,,,,1857,,,,,,,,,,,,,,,,AmbitionBox
HDFC Sales,Financial Services,,,,2004,Private,,,,,,,,,,,,,,,AmbitionBox
