company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Fimedi Spa,"Finance, Insurance, and Real Estate",CORSO RE UMBERTO 10,TORINO,ITALY,1974,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Buzzi Unicem Spa,Manufacturing,VIA LUIGI BUZZI 6,ALESSANDRIA,ITALY,1907,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Genertellife Spa,"Finance, Insurance, and Real Estate",VIA MAROCCHESA 14,TREVISO,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Logista Italia Spa,Wholesale Trade,VIA VALADIER 37,ROMA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Pirelli Tyre Spa,Manufacturing,VIALE PIERO E ALBERTO PIRELLI 25,MILANO,ITALY,1983,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Hera Comm Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA MOLINO ROSSO 8,BOLOGNA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Autogrill Spa,Retail Trade,GALLERIA SAN BABILA 4/A,MILANO,ITALY,1946,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Rete Ferroviaria Italiana Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",PIAZZA DELLA CROCE ROSSA 1,ROMA,ITALY,1992,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Swietelsky Baugesellschaft M.b.h.,Construction,VIA DEL SOLE 34,BOLZANO,ITALY,2008,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Cnh Industrial Italia Spa,Manufacturing,VIALE DELLE NAZIONI 55,MODENA,ITALY,1973,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Iren Mercato Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA DEI SANTI GIACOMO E FILIPPO 7,GENOVA,ITALY,2000,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Duferco Italia Holding Spa,"Finance, Insurance, and Real Estate",VIA ARMANDO DIAZ 248,BRESCIA,ITALY,1990,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Trasporti Internazionali Agenzia Marittima Savino Del Bene Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA DEL BOTTEGHINO 24/26,FIRENZE,ITALY,1920,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Unieuro Spa,Retail Trade,VIA PIERO MARONCELLI 10,FORLI'-CESENA,ITALY,1935,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Axpo Italia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA XII OTTOBRE 1,GENOVA,ITALY,2000,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Sind International Srl,"Finance, Insurance, and Real Estate",VIA BIGLI 21,MILANO,ITALY,1993,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Danieli & C. Officine Meccaniche Spa,Manufacturing,VIA NAZIONALE 41,UDINE,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Md Spa,Retail Trade,ZONA A.S.I.CAPANNONE 18,CASERTA,ITALY,2005,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
